|Description|new_summary|entities
753|$NVDA** - DAN IVES’ TOP AI STOCK PICKS FOR 2026**  Artificial intelligence led markets in 2025  and Wedbush analyst Dan Ives expects new winners to emerge in 2026. His top AI-related picks are Microsoft  Apple  Tesla  Palantir  and CrowdStrike. Nvidia  despite leading the AI rally in recent years  was excluded as Ives focuses on “derivative” beneficiaries of AI spending across the broader tech ecosystem.  Ives argues that every dollar spent on Nvidia chips drives an $8–$10 multiplier across other technology companies  positioning these firms to benefit most in the next phase of the AI cycle.  **Key highlights:**  🔸 $MSFT: Strong upside from Azure  with growth underestimated by the market; shares up 15.6% in 2025.  🔸 $AAPL: Potential acceleration in AI could add $75–$100 per share over time; shares up 9.3%.  🔸 $TSLA: 2026 seen as a breakout year for autonomous driving and robotics; shares up 13.8%.  🔸 $PLTR: Viewed as a potential trillion-dollar market cap AI leader; shares up 143.5%.  🔸 $CRWD: Growing enterprise adoption and expanding product suite; shares up 39.1%.|Dan Ives from Wedbush highlights his top AI stock picks for 2026, including Microsoft, Apple, Tesla, Palantir, and CrowdStrike, while excluding Nvidia due to its recent AI dominance. He emphasizes the multiplier effect of Nvidia spending on other tech companies, which positions them for growth in the next AI cycle.|$NVDA,$MSFT,$AAPL,$TSLA,$PLTR, Nvidia,Microsoft,Apple,Tesla,Palantir,CrowdStrike
754|US DEC. MNI CHICAGO REPORT BUSINESS INDEX AT 43.5; EST. 39.8|The US December MNI Chicago Report indicates a business index of 43.5, surpassing the estimated 39.8.|
755|🚨 PRESIDENT ZELENSKIY TELLS MEDIA IN WHATSAPP CHAT: KYIV IS DISCUSSING WITH PRESIDENT TRUMP US TROOPS PRESENCE IN UKRAINE|President Zelenskiy announced in a WhatsApp chat that Kyiv is in talks with President Trump regarding the presence of US troops in Ukraine.|
756|ZELENSKIY SAYS WE DISCUSS BOOTS ON THE GROUND WITH US  OTHER ALLIES  ZELENSKIY SAYS UKRAINE SEEKS ALLIES TO MONITOR POTENTIAL TRUCE  ZELENSKIY SAYS IT'S UP TO US  ALLIES TO DECIDE ON TROOP DEPLOYMENT|Ukrainian President Zelenskiy emphasized discussions with the US and other allies regarding potential troop deployments and monitoring of a possible truce.|
757|ZELENSKIY SAYS HE IS READY FOR ANY FORMAT OF MEETING WITH PUTIN|Ukrainian President Zelenskiy expresses readiness for any type of meeting with Russian President Putin, indicating a potential diplomatic opening.|
758|INTEL SHARES HIT MORE THAN TWO-WEEK HIGH  LAST UP 4.2%|Intel shares have reached their highest level in over two weeks, increasing by 4.2%.|INTC, Intel
759|COMEX SILVER EXTENDS GAINS TO 8%|COMEX silver prices have increased by 8%, reflecting significant gains.|SILVER
760|$NVDA** - NVIDIA IN TALKS TO BUY AI21 LABS FOR UP TO $3 BILLION**  Nvidia is in advanced talks to acquire Israeli AI firm AI21 Labs for $2–3 billion  according to local media outlet Calcalist. If completed  this would be Nvidia’s fourth acquisition in Israel and its second largest after Mellanox.  The deal is largely aimed at AI21’s roughly 200 employees  many of whom have advanced AI expertise  implying a valuation of about $10–15 million per employee. AI21 develops large-scale language models and was last valued at $1.4 billion after a 2023 funding round.  Founded in 2017 by Amnon Shashua  who also leads Mobileye  AI21 has attracted strong investor interest amid the AI boom.|Nvidia is reportedly in advanced negotiations to acquire Israeli AI company AI21 Labs for up to $3 billion, aiming to strengthen its footprint in the AI sector with the addition of AI21's talent. This acquisition would mark Nvidia's fourth in Israel and their second largest following the Mellanox deal.|Nvidia,AI21 Labs,Mobileye, $NVDA
761|ELON MUSK’S XAI HAS BOUGHT A BUILDING FOR A THIRD SUPERSIZED DATA CENTER IT’S PLANNING OUTSIDE MEMPHIS  TENNESSEE- THE INFORMATION|Elon Musk's XAI has acquired a building for a new supersized data center near Memphis, Tennessee, indicating a significant expansion in its technology infrastructure.|XAI
762|FED MINUTES: SOME PARTICIPANTS SUGGESTED UNDER THEIR ECONOMIC OUTLOOKS IT WOULD LIKELY BE APPROPRIATE TO LEAVE RATES UNCHANGED FOR SOME TIME AFTER DECEMBER CUT|The recent FED minutes indicate that some members believe it may be appropriate to maintain the current interest rates for a period following the anticipated cut in December.|
763|$TSLA** - TESLA ANALYST ESTIMATES SIGNAL Q4 DELIVERY DECLINE**  Tesla has published a compilation of analyst delivery estimates showing an expected 15% year-over-year drop in fourth-quarter vehicle deliveries. Analysts tracked by Tesla forecast 422 850 deliveries  below the Bloomberg consensus of 445 061  which implies a 10% decline.  This is the first time Tesla has publicly shared these estimates on its investor relations website. For the full year  the company’s compiled estimate is about 1.6 million deliveries  down more than 8% from last year  pointing to a second consecutive annual sales decline.  Despite weaker delivery expectations  Tesla shares are up 14% year to date through Monday’s close  trailing the S&P 500’s 17% gain.|Tesla's analyst estimates indicate a significant 15% drop in Q4 vehicle deliveries, with a full-year estimate of 1.6 million deliveries reflecting an 8% decline from the previous year. Despite these downturns, Tesla shares have risen by 14% year to date, though this lags behind the S&P 500's 17% gain.|Tesla, $TSLA
764|$TSLA** - TESLA STOCK FORECAST: BAIRD PREVIEWS 2026**  Baird expects Tesla to enter 2026 with multiple catalysts  maintaining an Outperform rating and a $548 price target. The firm views Tesla as a core holding  noting the stock is up 21% year to date and 7% over the past month  outperforming the S&P 500.  Key catalysts include expected robotaxi announcements  potential regulatory and revenue updates in China and the EU  and progress in Optimus production  Tesla Semi volumes  and Energy segment growth. Baird also reaffirmed expectations for paid robotaxi service and initial Optimus commercialization in 2027.  The firm updated its long-term model through 2030  removed prior Model 2 delivery assumptions  and continues to base its valuation on roughly 70x 2030 EBITDA  discounted to year-end 2026.|Baird anticipates multiple catalysts for Tesla as it heads into 2026, maintaining an Outperform rating with a price target of $548. The firm highlights the stock's 21% year-to-date increase and its outperformance against the S&P 500, driven by factors including potential advancements in robotaxi services and updates from China and the EU.|Tesla, TSLA
765|SILVER47 DISCOVERS NEW HIGH-GRADE MASSIVE SULFIDE ZONE AT RED MOUNTAIN PROJECT  ALASKA $AGA.V $AAGAF|SILVER47 has made a significant discovery of a new high-grade massive sulfide zone at their Red Mountain Project in Alaska, potentially enhancing the project's value.|$AGA.V,$AAGAF, Silver
766|SOFTBANK HAS FULLY FUNDED OPENAI COMMITMENT OF $40B - CNBC  CITING SOURCES|SoftBank has successfully fulfilled its $40 billion commitment to OpenAI, as reported by CNBC citing sources.|SOFTBANK,OPENAI
767|$NVDA** - DAN IVES’ TOP AI STOCK PICKS FOR 2026**  Artificial intelligence led markets in 2025  and Wedbush analyst Dan Ives expects new winners to emerge in 2026. His top AI-related picks are Microsoft  Apple  Tesla  Palantir  and CrowdStrike. Nvidia  despite leading the AI rally in recent years  was excluded as Ives focuses on “derivative” beneficiaries of AI spending across the broader tech ecosystem.  Ives argues that every dollar spent on Nvidia chips drives an $8–$10 multiplier across other technology companies  positioning these firms to benefit most in the next phase of the AI cycle.  **Key highlights:**  🔸 $MSFT: Strong upside from Azure  with growth underestimated by the market; shares up 15.6% in 2025.  🔸 $AAPL: Potential acceleration in AI could add $75–$100 per share over time; shares up 9.3%.  🔸 $TSLA: 2026 seen as a breakout year for autonomous driving and robotics; shares up 13.8%.  🔸 $PLTR: Viewed as a potential trillion-dollar market cap AI leader; shares up 143.5%.  🔸 $CRWD: Growing enterprise adoption and expanding product suite; shares up 39.1%.|Dan Ives highlights key AI stock picks for 2026, emphasizing Microsoft, Apple, Tesla, Palantir, while noting Nvidia's exclusion due to its role as a chip supplier. He anticipates substantial growth for these companies through AI-related advancements.|Nvidia,Microsoft,Apple,Tesla,Palantir, NVDA,MSFT,AAPL,TSLA,PLTR
768|US DEC. MNI CHICAGO REPORT BUSINESS INDEX AT 43.5; EST. 39.8|The US December MNI Chicago Report indicates a business index of 43.5, surpassing the estimated 39.8, suggesting a stronger-than-expected performance in the region.|
769|🚨 PRESIDENT ZELENSKIY TELLS MEDIA IN WHATSAPP CHAT: KYIV IS DISCUSSING WITH PRESIDENT TRUMP US TROOPS PRESENCE IN UKRAINE|President Zelenskiy revealed that Kyiv is in discussions with President Trump regarding the presence of US troops in Ukraine. This indicates a significant geopolitical dialogue between Ukraine and the United States.|
770|ZELENSKIY SAYS WE DISCUSS BOOTS ON THE GROUND WITH US  OTHER ALLIES  ZELENSKIY SAYS UKRAINE SEEKS ALLIES TO MONITOR POTENTIAL TRUCE  ZELENSKIY SAYS IT'S UP TO US  ALLIES TO DECIDE ON TROOP DEPLOYMENT|Ukrainian President Zelenskiy emphasizes the importance of US and allied decisions regarding troop deployment for monitoring a potential truce.|
771|ZELENSKIY SAYS HE IS READY FOR ANY FORMAT OF MEETING WITH PUTIN|Ukrainian President Zelenskiy expresses readiness for any format of meeting with Russian President Putin, signaling a potential diplomatic move.|
772|INTEL SHARES HIT MORE THAN TWO-WEEK HIGH  LAST UP 4.2%|Intel shares have reached a high not seen in over two weeks, increasing by 4.2%. This rise indicates positive momentum for the company.|INTC, Intel
773|COMEX SILVER EXTENDS GAINS TO 8%|COMEX silver has recorded an impressive gain of 8%, indicating a strong upward trend in its market performance.|SILVER
774|$NVDA** - NVIDIA IN TALKS TO BUY AI21 LABS FOR UP TO $3 BILLION**  Nvidia is in advanced talks to acquire Israeli AI firm AI21 Labs for $2–3 billion  according to local media outlet Calcalist. If completed  this would be Nvidia’s fourth acquisition in Israel and its second largest after Mellanox.  The deal is largely aimed at AI21’s roughly 200 employees  many of whom have advanced AI expertise  implying a valuation of about $10–15 million per employee. AI21 develops large-scale language models and was last valued at $1.4 billion after a 2023 funding round.  Founded in 2017 by Amnon Shashua  who also leads Mobileye  AI21 has attracted strong investor interest amid the AI boom.|Nvidia is reportedly in advanced talks to acquire Israeli AI firm AI21 Labs for up to $3 billion, which would mark its fourth acquisition in Israel. This move is aimed at enhancing Nvidia’s capabilities in AI technology, particularly through AI21's large-scale language models and expertise.|Nvidia,AI21 Labs,Mobileye, $NVDA
775|ELON MUSK’S XAI HAS BOUGHT A BUILDING FOR A THIRD SUPERSIZED DATA CENTER IT’S PLANNING OUTSIDE MEMPHIS  TENNESSEE- THE INFORMATION|Elon Musk's XAI has acquired a building to establish its third large-scale data center near Memphis, Tennessee, according to The Information.|XAI
776|FED MINUTES: SOME PARTICIPANTS SUGGESTED UNDER THEIR ECONOMIC OUTLOOKS IT WOULD LIKELY BE APPROPRIATE TO LEAVE RATES UNCHANGED FOR SOME TIME AFTER DECEMBER CUT|The recent FED minutes indicate that some participants foresee the necessity of maintaining the current interest rates for a period following a potential rate cut in December.|
777|VENEZUELA CURRENCY CLOSES THE YEAR AT 301 BOLIVARS TO THE DOLLAR  DEPRECIATING 83% YEAR-ON-YEAR|Venezuela's currency has depreciated significantly, closing the year at 301 bolivars per dollar, marking an 83% decline year-on-year.|
778|*CHINA DEC. MANUFACTURING PMI 50.1; EST. 49.2 *CHINA DEC. NON-MANUFACTURING PMI 50.2; EST. 49.6 *CHINA DEC. COMPOSITE PMI 50.7; PREV. 49.7|China's December Manufacturing PMI came in at 50.1, exceeding estimates, while the Non-Manufacturing PMI was at 50.2, also above expectations, indicating positive economic activity.|
779|SPOT PALLADIUM FALLS OVER 4% INTRADAY TO $1 555.31/OZ AFTER CME RAISED PRECIOUS METALS FUTURES MARGIN FOR THE SECOND TIME IN A WEEK|Palladium prices dropped over 4% intraday to $1,555.31 per ounce following a second margin increase on precious metals futures by the CME within the week.|SPOT, Palladium
780|CDC: US MEASLES CASES AT 30-YEAR HIGH  The CDC says measles cases in the US have passed 2 000 in 2025  the highest level in more than three decades. Nearly 2 000 cases were reported across 44 jurisdictions  with Texas the hardest hit. Most cases involved unvaccinated people or those with unknown vaccination status.|The CDC reports that US measles cases have surged to over 2,000 in 2025, marking the highest level in over 30 years, with Texas experiencing the most significant impact. The majority of cases were found among unvaccinated individuals or those with unknown vaccination status.|
781|NETANYAHU SAID TO HAVE RAISED NEW IRAN STRIKES WITH TRUMP  Israeli Prime Minister Benjamin Netanyahu brought up the topic of the possibily hitting Iran again in 2026 with United States President Donald Trump  Axios reported on Wednesday.|Israeli Prime Minister Benjamin Netanyahu discussed the potential of new military strikes on Iran with U.S. President Donald Trump, as reported by Axios.|
782|*US JOBLESS CLAIMS 199K IN DEC. 27 WEEK; EST. 220K *US CONTINUING CLAIMS 1.866M IN DEC. 20 WEEK; PREV. 1.923M|US jobless claims fell to 199,000 in the week of December 27, significantly below the estimate of 220,000, while continuing claims decreased to 1.866 million from a previous 1.923 million.|
783|UKRAINE STRUCK OIL DEPOT IN RUSSIAN CITY OF RYBINSK  SBU OFFICIAL SAYS.|The conflict escalates as Ukraine reportedly struck an oil depot in the Russian city of Rybinsk, according to an SBU official.|Oil
784|Trump: ‘Tim Waltz of Minnesota is a Crooked Governor!!!’|Trump criticized Minnesota Governor Tim Waltz, labeling him as 'crooked.' This remark reflects Trump's ongoing political discourse.|
785|**HOLIDAYS DISTORTING JOBLESS CLAIMS DATA**  Citi economists warn that holiday periods are causing unusually large distortions in the seasonal adjustments for jobless claims this year.  **Key data from Christmas week:**  🔸 Initial claims fell to 199 000 (from 215 000 the prior week) 🔸 This was much lower than the expected 220 000  A more reliable picture of the labor market may not emerge until mid-January.That said  the low level of claims still points to very few layoffs.  Ci**ti's forecasts for the upcoming December jobs report (due next week):  **🔸 Nonfarm payrolls: +75 000 🔸 Unemployment rate: rising to 4.7% (mainly due to higher labor force participation)|Citi economists caution that holiday effects are skewing jobless claims data, with initial claims dropping to 199,000, lower than expected. They predict an upcoming December jobs report showing nonfarm payrolls of +75,000 and an unemployment rate rising to 4.7%.|Citi
